Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-02-01,1188.09,1188.09,1187.64,1187.64,0,,,
2025-02-19,1189.3,1189.3,1189.07,1189.07,0,,,
2025-04-01,1205.97,1205.97,1205.73,1205.73,0,,,
2025-04-07,1215.59,1215.59,1215.55,1215.58,0,,,
2025-05-08,1228.8,1228.8,1227.86,1227.86,0.0,,,
2025-06-10,1245.31,1245.31,1242.98,1242.98,0.0,,,
2025-06-11,1243.21,1243.21,1241.65,1241.65,0.0,,,
2025-06-12,1241.88,1241.88,1239.01,1239.01,0.0,,,
2025-06-17,1238.64,1239.61,1238.63,1239.61,0.0,,,
2025-06-18,1239.84,1241.25,1239.83,1241.25,0.0,,,
2025-06-19,1241.48,1241.71,1241.47,1241.71,0.0,,,
2025-06-25,1239.05,1239.05,1236.31,1236.31,0.0,,,
2025-06-30,1237.16,1237.16,1235.36,1235.36,0.0,,,
2025-08-05,1245.12,1246.43,1245.11,1246.43,0.0,,,
2025-08-19,1238.88,1238.88,1238.53,1238.84,0.0,,,
2025-08-20,1239.08,1239.08,1238.37,1238.37,0.0,,,
2025-08-21,1238.6,1239.43,1238.35,1238.35,0.0,,,
2025-08-26,1252.42,1252.42,1235.97,1235.97,0.0,,,
2025-09-01,1239.5,1239.5,1237.5,1237.5,0.0,,,
2025-09-05,1238.41,1238.76,1238.41,1238.76,0.0,,,
2025-09-08,1239.7,1239.7,1239.46,1239.46,0.0,,,
2025-09-16,1243.07,1243.21,1243.06,1243.21,0.0,,,
2025-09-17,1243.45,1243.45,1243.44,1243.45,0.0,,,
